soc_code,occupation_title,aioe_score,ilo_score,gpts_are_gpts_score,gpts_are_gpts_human_score,composite_exposure_score,impact_pattern,job_zone,anthropic_1p_automation_share,anthropic_1p_augmentation_share,employment_growth_rate,skill__active_learning,skill__active_listening,skill__critical_thinking,skill__learning_strategies,skill__mathematics,skill__monitoring,skill__reading_comprehension,skill__science,skill__speaking,skill__writing,ilo_task_mean,ilo_task_std,tot_emp_2023,tot_emp_2024,tot_emp_2025
27-4032,Film and Video Editors,0.985707,0.37,0.5277777777777778,0.4722222222222222,0.8268936880499428,Automation,4.0,89.355,10.645,-0.06412875182530864,3.25,3.75,3.5,2.62,1.88,3.0,3.38,1.0,3.25,3.12,0.37,0.07,29240.0,28860.0,25610.0
27-4099,"Media and Communication Equipment Workers, All Other",,0.35,,,0.42878348010702577,Transformation,,,,0.043666060166927645,,,,,,,,,,,0.35,0.11,11430.0,13020.0,12450.0
29-1011,Chiropractors,-0.1911757,0.2,0.4545454545454546,0.3181818181818182,-0.098377982748871,Augmentation,5.0,81.665,18.335,-0.022554250679849286,3.5,4.0,3.88,3.0,2.12,3.25,3.88,3.38,4.0,3.62,0.2,0.08,41480.0,37630.0,39630.0
29-1021,"Dentists, General",-0.1813301,0.15,0.25,0.225,-0.5287407302554638,Augmentation,5.0,,,0.011240671075498643,4.0,4.0,4.12,3.12,2.62,4.0,4.0,3.62,4.0,3.5,0.15,0.06,121640.0,113490.0,124390.0
29-1022,Oral and Maxillofacial Surgeons,-0.2389668,0.15,0.04,0.08,-0.8656802733385692,Augmentation,5.0,,,0.08641081619176716,3.75,4.0,4.12,2.75,2.62,3.88,4.0,3.62,3.88,3.88,0.15,0.06,4160.0,5330.0,4910.0
29-1023,Orthodontists,0.1616631,0.15,0.3,0.2,-0.33876030403234186,Augmentation,5.0,88.65,11.35,-0.01495558475772274,3.75,4.0,4.0,3.25,2.12,4.0,3.88,3.38,4.0,3.38,0.15,0.06,6400.0,5150.0,6210.0
29-1024,Prosthodontists,-0.1561403,0.15,0.0454545454545454,0.0909090909090909,-0.8298187825863588,Augmentation,5.0,,,0.2354415362426845,3.0,4.0,4.0,2.88,2.0,3.62,3.62,3.0,4.0,3.38,0.15,0.06,570.0,760.0,870.0
29-1029,"Dentists, All Other Specialists",,0.15,,,-1.0612560619497726,Augmentation,,,,-0.060081947217766274,,,,,,,,,,,0.15,0.06,5920.0,5900.0,5230.0
29-1031,Dietitians and Nutritionists,1.342809,0.41,0.5487804878048781,0.4634146341463415,1.077040488830063,Automation,5.0,87.495,12.504999999999999,0.02480737954864609,3.62,4.0,4.0,3.75,3.0,3.88,4.0,3.25,4.0,3.88,0.41,0.07,73860.0,76570.0,77570.0
29-1041,Optometrists,0.5040194,0.24,0.3,0.05,-0.0011356059612664022,Augmentation,5.0,,,0.01677165347627474,3.12,4.12,4.12,3.12,3.0,3.25,4.12,3.75,4.0,4.0,0.24,0.07,41390.0,41890.0,42790.0
29-1051,Pharmacists,0.6058705,0.33,0.4285714285714285,0.3999999999999999,0.4508476163691586,Transformation,5.0,81.49000000000001,18.509999999999998,-0.014776033230506802,3.62,4.0,3.88,3.12,3.12,3.88,4.0,3.12,4.0,3.88,0.33,0.09,331700.0,328870.0,321970.0
29-1061,Anesthesiologists,0.2349698,,,,0.23496980704498005,,,,,,,,,,,,,,,,,,,,
29-1062,Family and General Practitioners,1.031925,,,,1.0319250077146265,,,,,,,,,,,,,,,,,,,,
29-1063,"Internists, General",1.046167,,,,1.0461670077265934,,,,,,,,,,,,,,,,,,,,
29-1064,Obstetricians and Gynecologists,0.2803215,,,,0.28032150708308706,,,,,,,,,,,,,,,,,,,,
29-1065,"Pediatricians, General",1.126144,,,,1.1261440077937945,,,,,,,,,,,,,,,,,,,,
29-1066,Psychiatrists,1.280753,,,,1.2807530079237057,,,,,,,,,,,,,,,,,,,,
29-1067,Surgeons,-0.0504534,,,,-0.05045339319484855,,,,,,,,,,,,,,,,,,,,
29-1069,"Physicians and Surgeons, All Other",0.7086123,,,,0.708612307442961,,,,,,,,,,,,,,,,,,,,
29-1071,Physician Assistants,0.1059147,0.23,0.2708333333333333,0.1101190476190476,-0.20279995812560922,Transformation,5.0,96.905,3.095,0.054797505146322534,3.815,4.0,3.87,3.0,2.94,4.0,4.0600000000000005,3.25,3.875,3.625,0.23,0.13,145740.0,155540.0,162150.0
29-1081,Podiatrists,0.6279185,0.2,0.2857142857142857,0.2857142857142857,-0.08078597809998521,Augmentation,5.0,,,0.011026849490510582,4.0,4.0,4.0,3.25,2.88,3.88,4.0,3.5,4.0,3.88,0.2,0.08,9470.0,9520.0,9680.0
29-1122,Occupational Therapists,0.1151615,0.2,0.2890151515151515,0.34071969696969695,-0.246710810573597,Augmentation,5.0,94.915,5.085,0.05904789116980824,3.815,4.0600000000000005,3.75,3.94,2.06,3.935,3.94,2.375,4.0,3.875,0.2,0.08,144840.0,152280.0,162450.0
29-1123,Physical Therapists,-0.3581922,0.28,0.1914893617021276,0.3404255319148936,-0.35337870903641017,Transformation,5.0,95.205,4.795,0.0536043940136135,3.12,4.0,4.0,3.12,2.12,3.88,4.0,2.62,4.0,3.88,0.28,0.14,240820.0,248630.0,267330.0
29-1124,Radiation Therapists,-0.2189393,0.22,0.2804878048780488,0.1707317073170731,-0.3213115254851507,Augmentation,3.0,98.235,1.765,0.012838262583837246,3.0,3.75,3.5,2.88,2.75,3.25,3.75,2.75,3.25,3.12,0.22,0.03,16640.0,18700.0,17070.0
29-1125,Recreational Therapists,0.2190109,0.2,0.3181818181818182,0.3636363636363636,-0.16796555085928402,Augmentation,4.0,92.94999999999999,7.05,-0.01982325025204723,3.38,4.0,3.88,3.38,2.0,3.38,3.88,2.0,4.0,3.88,0.2,0.08,15540.0,15060.0,14930.0
29-1126,Respiratory Therapists,-0.1880507,0.3,0.2023809523809523,0.1904761904761904,-0.23051805375303977,Transformation,3.0,100.0,0.0,0.03796896683277584,3.38,4.0,4.0,3.12,2.75,4.0,3.88,3.0,3.88,3.25,0.3,0.15,129750.0,136420.0,139790.0
29-1127,Speech-Language Pathologists,1.146267,0.24,0.4512195121951219,0.3902439024390244,0.4417401122614167,Augmentation,5.0,88.755,11.245000000000001,0.03227970751054654,3.88,4.12,4.12,4.0,2.0,3.88,4.12,2.88,4.0,4.0,0.24,0.04,172100.0,178790.0,183390.0
29-1128,Exercise Physiologists,-0.0331901,0.28,0.26,0.34,-0.14138895754292116,Transformation,4.0,85.77000000000001,14.23,0.03055069717801584,3.38,4.0,3.88,3.38,2.75,3.88,4.0,2.88,4.0,3.88,0.28,0.14,8060.0,8110.0,8560.0
29-1129,"Therapists, All Other",,0.2,0.3656028368794326,0.4095744680851064,-0.25383268912170304,Augmentation,4.5,94.59,5.41,0.17173090128807034,3.435,4.0600000000000005,3.94,3.435,2.0,3.875,3.875,1.815,4.0,3.5,0.2,0.08,16490.0,19320.0,22640.0
29-1131,Veterinarians,-0.0749958,0.14,0.2702702702702703,0.2297297297297297,-0.4874612966859299,Augmentation,5.0,94.66999999999999,5.33,0.035671617507035513,4.0,4.12,3.88,3.0,3.12,3.25,4.12,3.88,3.88,3.5,0.14,0.05,78220.0,80630.0,83900.0
29-1141,Registered Nurses,0.2294097,0.25,0.38019000703729766,0.33498318867776994,0.05348827301267737,Transformation,4.4,92.791,7.2090000000000005,0.03167242928551017,3.8519999999999994,4.052,4.024,3.4,2.802,3.974,4.0,2.952,4.072,3.8019999999999996,0.25,0.13,3175390.0,3282010.0,3379720.0
29-1151,Nurse Anesthetists,0.2413191,0.25,0.1666666666666666,0.125,-0.2656000055615993,Transformation,5.0,96.965,3.035,0.04129342124283797,4.0,4.0,4.12,3.38,3.25,4.0,4.12,3.88,4.0,3.38,0.25,0.13,47810.0,50350.0,51840.0
29-1161,Nurse Midwives,0.1966265,0.3,0.3902439024390244,0.2926829268292683,0.1819419164526758,Transformation,5.0,94.595,5.404999999999999,0.06673850332813935,4.0,4.12,4.12,3.25,2.62,4.0,4.0,2.88,4.12,3.88,0.3,0.15,6960.0,8280.0,7920.0
29-1171,Nurse Practitioners,0.1900572,0.25,0.4814814814814814,0.3148148148148147,0.19362347621167023,Transformation,5.0,86.89500000000001,13.105,0.07384250095433353,4.0,4.12,4.12,3.5,3.0,4.0,4.12,3.75,4.0,4.0,0.25,0.13,280140.0,307390.0,323040.0
29-1181,Audiologists,0.6329063,0.24,0.4545454545454546,0.4545454545454546,0.2756519869523955,Augmentation,5.0,,,-0.007956726796768732,4.0,4.12,4.0,3.38,2.88,3.75,4.12,3.0,4.0,4.0,0.24,0.04,13880.0,14730.0,13660.0
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.7109566,,,,0.7109566074449308,,,,,,,,,,,,,,,,,,,,
29-1211,Anesthesiologists,,0.27,0.25,0.2941176470588235,-0.25543418611374663,Transformation,5.0,90.555,9.445,0.07612823903747601,3.88,4.0,4.62,3.38,3.0,4.12,4.12,4.0,4.0,4.0,0.27,0.12,33470.0,41890.0,38760.0
29-1212,Cardiologists,,0.28,0.3461538461538461,0.2307692307692307,3.610857340739099e-05,Transformation,5.0,65.81,34.19,0.06688745794777584,,,,,,,,,,,0.28,0.11,15190.0,18020.0,17290.0
29-1213,Dermatologists,,0.28,0.3823529411764705,0.3235294117647059,0.08218925911862493,Transformation,5.0,89.08500000000001,10.915,-0.02822216558081625,3.75,4.0,4.12,3.12,2.25,3.5,3.88,3.62,3.88,3.5,0.28,0.11,12040.0,10080.0,11370.0
29-1214,Emergency Medicine Physicians,,0.28,0.4411764705882353,0.3529411764705882,0.21568812875460364,Transformation,5.0,91.05,8.95,-0.03214043541837297,4.0,4.38,4.38,3.62,2.75,4.12,4.25,3.0,4.25,4.12,0.28,0.11,35100.0,33680.0,32880.0
29-1215,Family Medicine Physicians,,0.29,0.4375,0.375,0.2445954379537748,Transformation,5.0,90.155,9.844999999999999,-0.02029340329688245,4.0,4.25,4.38,3.25,2.75,4.0,4.25,3.88,4.12,4.12,0.29,0.1,112010.0,107950.0,107510.0
29-1216,General Internal Medicine Physicians,,0.29,0.4571428571428571,0.3714285714285714,0.2891745247786461,Transformation,5.0,94.47,5.53,-0.00044646181256480233,3.88,4.12,4.0,3.12,2.88,3.88,4.12,4.0,4.0,4.0,0.29,0.1,67210.0,66640.0,67150.0
29-1217,Neurologists,,0.28,0.4565217391304347,0.3695652173913043,0.2505139208335544,Transformation,5.0,93.15,6.85,0.06424636285759266,3.75,4.25,4.12,3.38,2.88,4.0,4.12,3.75,4.12,4.0,0.28,0.11,9350.0,7700.0,10590.0
29-1218,Obstetricians and Gynecologists,,0.27,0.3928571428571428,0.3035714285714285,0.06877735443077258,Transformation,5.0,93.185,6.8149999999999995,0.03569005255659485,4.12,4.12,4.38,3.5,2.75,4.0,4.25,3.75,4.0,4.0,0.27,0.12,19820.0,19900.0,21260.0
29-1221,"Pediatricians, General",,0.29,0.4833333333333333,0.3666666666666667,0.348613307211808,Transformation,5.0,88.1,11.9,0.06283786105819877,4.0,4.12,4.25,3.25,2.38,4.0,4.12,4.0,4.25,4.0,0.29,0.1,34870.0,42960.0,39390.0
29-1222,"Physicians, Pathologists",,0.28,0.4696969696969697,0.3181818181818182,0.28041485342659334,Transformation,5.0,91.53,8.469999999999999,0.004075181023316388,4.0,4.0,4.12,3.12,3.0,3.5,4.25,4.0,3.88,4.12,0.28,0.11,11020.0,11800.0,11110.0
29-1223,Psychiatrists,,0.27,0.4782608695652174,0.5217391304347826,0.26259947106064846,Transformation,5.0,83.195,16.805,0.06153787785913778,3.88,5.0,4.38,3.75,2.62,4.0,4.0,3.62,4.12,4.0,0.27,0.12,24830.0,24800.0,27980.0
29-1224,Radiologists,,0.28,0.4888888888888889,0.5111111111111112,0.3239705452371196,Transformation,5.0,97.305,2.6950000000000003,-0.0847899083325937,3.88,4.25,4.12,3.25,2.88,4.0,4.25,3.75,4.25,4.12,0.28,0.11,31960.0,26290.0,26770.0
29-1229,"Physicians, All Other",,0.28,0.4164495357891584,0.3179619646600778,0.1595708253855354,Transformation,5.0,90.77,9.23,0.051314966075693746,3.9583333333333335,4.121666666666667,4.185,3.4133333333333336,2.7900000000000005,3.98,4.333333333333333,3.543333333333333,4.081666666666667,4.0,0.28,0.11,310080.0,315360.0,342720.0
29-1241,"Ophthalmologists, Except Pediatric",,0.28,0.4264705882352941,0.3382352941176471,0.182313411345609,Transformation,5.0,89.58500000000001,10.415,-0.11895748891934299,4.0,4.12,4.25,3.38,3.0,4.0,4.25,3.88,4.0,4.0,0.28,0.11,11530.0,12110.0,8950.0
29-1242,"Orthopedic Surgeons, Except Pediatric",,0.27,0.3333333333333333,0.2333333333333333,-0.06631078746277706,Transformation,5.0,99.1,0.9,-0.024593928638650064,,,,,,,,,,,0.27,0.12,14820.0,14160.0,14100.0
29-1243,Pediatric Surgeons,,0.27,0.3611111111111111,0.2222222222222222,-0.0032696545791204845,Transformation,5.0,98.37,1.63,0.004228348669358395,,,,,,,,,,,0.27,0.12,1180.0,1050.0,1190.0
29-1249,"Surgeons, All Other",,0.27,,,-0.16723233671569335,Transformation,,,,-0.0236004473260506,,,,,,,,,,,0.27,0.12,26370.0,24080.0,25140.0
29-1291,Acupuncturists,,0.23,0.1666666666666666,0.3055555555555555,-0.5935615389703963,Augmentation,5.0,96.465,3.535,-0.08586342503170208,3.12,3.88,3.75,2.62,2.0,3.25,3.25,2.25,3.62,3.12,0.23,0.08666666666666667,9370.0,8440.0,7830.0
29-1292,Dental Hygienists,,0.16,0.1875,0.09375,-0.8070376091675935,Transformation,3.0,91.985,8.015,0.025912902245558422,3.0,3.75,3.5,2.75,2.0,3.12,3.0,2.38,3.5,3.12,0.16,0.1,211630.0,219070.0,222740.0
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",,0.23,0.4963942307692307,0.3157051282051282,0.15474883165339226,Augmentation,5.0,95.8925,4.1075,-0.04053203381506887,3.565,4.0600000000000005,4.0,3.25,2.685,3.19,4.125,3.31,4.0,3.875,0.23,0.08666666666666667,31100.0,30870.0,28630.0
29-2010,,,,,,,,,,,-0.002155562053957838,,,,,,,,,,,,,334380.0,343040.0,332940.0
29-2011,Medical and Clinical Laboratory Technologists,0.2818067,0.31,0.33895166256157633,0.1977124384236453,0.1575648070037967,Transformation,4.25,97.99333333333334,2.0066666666666664,,3.2199999999999998,3.6574999999999998,3.7525,2.815,2.7175000000000002,3.2824999999999998,3.7824999999999998,3.3449999999999998,3.31,3.215,0.31,0.16,,,
29-2012,Medical and Clinical Laboratory Technicians,-0.1273315,0.31,0.1696428571428571,0.0476190476190476,-0.23497664672938803,Transformation,3.0,99.47,0.53,,2.94,3.56,3.375,2.565,2.375,3.125,3.565,3.06,3.12,3.0,0.31,0.16,,,
29-2021,Dental Hygienists,-0.416508,,,,-0.4165079935024282,,,,,,,,,,,,,,,,,,,,
29-2031,Cardiovascular Technologists and Technicians,-0.0909526,0.3,0.3571428571428571,0.1714285714285714,0.03600075888964228,Transformation,3.0,97.08,2.92,0.06355697146353578,3.12,3.88,3.75,2.88,2.62,3.75,3.62,3.0,3.75,3.12,0.3,0.15,55660.0,61180.0,62960.0
29-2032,Diagnostic Medical Sonographers,-0.264054,0.22,0.3026315789473684,0.2894736842105263,-0.3028465123435285,Augmentation,3.0,96.775,3.225,0.04362443871090704,3.12,4.0,3.62,3.0,2.0,3.25,3.75,2.88,3.88,3.25,0.22,0.03,82780.0,86460.0,90160.0
29-2033,Nuclear Medicine Technologists,0.0855276,0.22,0.2903225806451612,0.2580645161290322,-0.20494266898883537,Augmentation,3.0,99.0,1.0,0.015579128469847436,3.12,3.75,3.88,2.75,3.12,3.5,3.5,3.25,3.75,3.5,0.22,0.03,16560.0,16960.0,17080.0
29-2034,Radiologic Technologists and Technicians,-0.5559037,0.22,0.3771929824561403,0.2807017543859649,-0.2873192974404825,Augmentation,3.0,98.56,1.4400000000000002,0.02085235498467619,2.88,3.75,3.25,2.62,2.0,3.25,3.75,2.0,3.38,3.0,0.22,0.03,221170.0,223460.0,230490.0
29-2035,Magnetic Resonance Imaging Technologists,-0.0727627,0.22,0.3222222222222222,0.2222222222222222,-0.2094423533200911,Augmentation,3.0,98.995,1.005,0.024494400181801934,3.12,3.75,3.38,2.75,2.62,3.75,3.88,2.75,3.62,3.12,0.22,0.03,41340.0,41530.0,43390.0
29-2036,Medical Dosimetrists,,0.3,0.45,0.3,0.31021493630284025,Transformation,4.0,63.18000000000001,36.82,-0.06492835870240699,3.38,4.0,4.12,3.12,3.5,3.5,4.0,3.38,3.88,3.75,0.3,0.15,3900.0,3970.0,3410.0
29-2041,Emergency Medical Technicians and Paramedics,-0.6863446,,,,-0.68634459372916,,,,,,,,,,,,,,,,,,,,
29-2042,Emergency Medical Technicians,,0.22,0.2083333333333333,0.2083333333333333,-0.5362508281963314,Transformation,3.0,94.08000000000001,5.92,0.0395380550110187,,,,,,,,,,,0.22,0.17,167040.0,177980.0,180510.0
29-2043,Paramedics,,0.22,0.1538461538461538,0.1923076923076923,-0.6599084350065809,Transformation,3.0,94.0,6.0,0.009271588028885835,3.38,3.62,3.75,2.75,2.38,3.5,3.5,2.25,3.5,2.88,0.22,0.17,98770.0,99530.0,100610.0
29-2051,Dietetic Technicians,-0.1260282,0.3,0.5434782608695652,0.4130434782608695,0.30623197094751614,Transformation,3.0,87.88,12.120000000000001,0.14104346894401965,3.12,3.25,3.12,3.12,2.88,3.12,3.12,2.0,3.38,3.12,0.3,0.15,24240.0,29950.0,31560.0
29-2052,Pharmacy Technicians,0.0070256,0.3,0.4264705882352941,0.4264705882352941,0.173552127916782,Transformation,3.0,88.16,11.84,0.01230802269176845,3.12,4.0,3.25,2.88,3.0,3.12,3.75,1.88,3.75,3.0,0.3,0.12,460280.0,487920.0,471680.0
29-2053,Psychiatric Technicians,-0.2203484,0.3,0.12,0.34,-0.36592527934920094,Transformation,3.0,94.24,5.76,0.16353070074003728,3.12,4.0,3.62,3.0,2.0,4.0,3.75,2.0,3.88,3.25,0.3,0.15,115940.0,136300.0,156960.0
29-2054,Respiratory Therapy Technicians,-0.1060473,,,,-0.10604729324156167,,,,,,,,,,,,,,,,,,,,
29-2055,Surgical Technologists,-0.4830476,0.3,0.0666666666666666,0.0166666666666666,-0.5341843295138596,Transformation,3.0,,,0.03185309622190946,3.0,3.25,3.0,3.0,2.62,3.62,3.12,2.12,3.12,2.88,0.3,0.15,110320.0,113890.0,117460.0
29-2056,Veterinary Technologists and Technicians,-0.3623179,0.14,0.1639344262295082,0.1475409836065573,-0.744120099887005,Augmentation,3.0,,,0.0288462422363871,3.12,3.75,3.75,3.0,2.75,3.25,3.62,2.88,3.62,3.25,0.14,0.02,122000.0,131320.0,129140.0
29-2057,Ophthalmic Medical Technicians,0.078734,0.35,0.3289473684210526,0.1052631578947368,0.17407350754569353,Transformation,3.0,,,-0.016348377882716147,3.0,3.62,3.0,2.62,2.5,3.0,3.12,2.0,3.25,3.12,0.35,0.23,73390.0,76520.0,71010.0
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.5137373,0.22,0.25,0.25,-0.465705183775273,Transformation,3.0,97.05000000000001,2.95,0.01430466957083909,3.38,3.88,3.75,3.12,2.88,3.88,3.75,2.62,3.88,3.25,0.22,0.21,630250.0,632430.0,648410.0
29-2071,Medical Records and Health Information Technicians,0.5738765,,,,0.5738765073297485,,,,,,,,,,,,,,,,,,,,
29-2072,Medical Records Specialists,,0.52,0.6176470588235294,0.5588235294117647,1.5102084628966184,Transformation,3.0,98.095,1.905,0.0240260915411461,3.0,3.25,3.38,2.75,2.25,3.0,3.62,1.0,3.12,3.12,0.52,0.1,185690.0,187910.0,194720.0
29-2081,"Opticians, Dispensing",0.1013966,0.24,0.2857142857142857,0.238095238095238,-0.15695730877700312,Augmentation,3.0,,,-0.021329466026489996,3.0,3.88,3.5,2.62,2.88,3.0,3.75,1.75,4.0,3.25,0.24,0.07,76770.0,79690.0,73530.0
29-2091,Orthotists and Prosthetists,0.066577,0.18,0.2758620689655172,0.1896551724137931,-0.3324740740519536,Augmentation,5.0,,,0.031807080000973764,3.75,4.0,4.0,3.12,3.0,3.38,4.0,2.88,4.0,4.0,0.18,0.05,8820.0,9930.0,9390.0
29-2092,Hearing Aid Specialists,0.5648953,0.18,0.2,0.05,-0.28114631240400484,Augmentation,3.0,,,0.04857627053159619,3.12,3.88,3.12,3.0,2.12,3.12,3.25,1.75,3.38,3.12,0.18,0.05,10250.0,10580.0,11270.0
29-2099,"Health Technologists and Technicians, All Other",-0.283854,0.3,0.41140873015873014,0.27519841269841266,0.053803862853137575,Transformation,3.0,92.38,7.62,0.03305770827425758,3.08,4.043333333333333,3.5833333333333335,2.956666666666667,2.33,3.2466666666666666,3.5833333333333335,2.1666666666666665,3.92,3.206666666666667,0.3,0.15,171110.0,174060.0,182610.0
29-9011,Occupational Health and Safety Specialists,0.8349371,,,,0.8349371075491062,,,,,,,,,,,,,,,,,,,,
29-9012,Occupational Health and Safety Technicians,0.3996866,,,,0.3996866071833843,,,,,,,,,,,,,,,,,,,,
